City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Castro,BR,72.18,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
6,Strelka,RU,62.87,overcast clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
7,Thompson,CA,73.56,few clouds,55.7435,-97.8558,Burntwood Hotel
8,Zambezi,ZM,60.96,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
11,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
13,Alnashi,RU,66.36,overcast clouds,56.1874,52.4792,"Motel' ""Voyazh"""
18,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Yongan,CN,64.13,clear sky,39.6957,113.6871,Beiyue International Hotel
22,Zhigansk,RU,65.1,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
23,Rikitea,PF,73.56,overcast clouds,-23.1203,-134.9692,People ThankYou
27,Meulaboh,ID,75.96,light rain,4.1363,96.1285,Kost Pria
30,Havre-Saint-Pierre,CA,66.56,broken clouds,50.2334,-63.5986,Auberge Niapiskau
34,Atuona,PF,76.96,light rain,-9.8,-139.0333,Villa Enata
38,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Erenhot,CN,78.35,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
42,Yellowknife,CA,64.92,overcast clouds,62.456,-114.3525,The Explorer Hotel
43,Saskylakh,RU,63.1,light rain,71.9167,114.0833,
44,Bereda,ES,72.41,few clouds,43.2686,-7.5406,Pazo de Verdes
45,Norman Wells,CA,62.64,broken clouds,65.282,-126.8329,Heritage Hotel
47,Berdigestyakh,RU,65.64,clear sky,62.0989,126.6992,
48,Busselton,AU,60.96,overcast clouds,-33.65,115.3333,Observatory Guest House
49,Sao Filipe,CV,79.81,scattered clouds,14.8961,-24.4956,Hotel Xaguate
52,Gambo,CF,68.81,overcast clouds,4.6482,22.2633,
53,Mareeba,AU,61.52,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
55,Pemangkat,ID,78.94,broken clouds,1.1667,108.9667,Ramah Kost KITA
56,San Quintin,MX,73.87,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
58,Port Alfred,ZA,63.18,clear sky,-33.5906,26.891,The Halyards Hotel
60,Salalah,OM,74.98,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
64,Nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
65,Yatou,CN,76.3,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
67,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
