,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bathsheba,BB,13.2167,-59.5167,88.41,78,40,19.57,scattered clouds
1,Da Nang,VN,16.0678,108.2208,80.58,78,20,2.3,few clouds
2,Chokurdakh,RU,70.6333,147.9167,47.68,52,100,9.69,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,40.5,83,7,1.01,clear sky
4,Castro,BR,-24.7911,-50.0119,72.18,48,100,10.31,overcast clouds
5,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,18.41,broken clouds
6,Strelka,RU,58.0728,93.0344,62.87,77,100,3.8,overcast clouds
7,Thompson,CA,55.7435,-97.8558,73.56,40,20,8.05,few clouds
8,Zambezi,ZM,-13.5432,23.1047,60.96,36,32,5.14,scattered clouds
9,Barrow,US,71.2906,-156.7887,33.37,99,100,12.46,light snow
10,Upernavik,GL,72.7868,-56.1549,42.67,69,100,6.02,overcast clouds
11,Souillac,MU,-20.5167,57.5167,70.18,78,20,10.36,few clouds
12,Hithadhoo,MV,-0.6,73.0833,82.65,73,100,12.5,overcast clouds
13,Alnashi,RU,56.1874,52.4792,66.36,67,99,5.57,overcast clouds
14,Raichur,IN,16.2,77.3667,85.28,64,100,3.67,overcast clouds
15,Sisimiut,GL,66.9395,-53.6735,44.53,77,100,5.68,overcast clouds
16,Dikson,RU,73.5069,80.5464,44.51,100,100,17.81,overcast clouds
17,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,75,6.91,drizzle
18,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,88,8.99,overcast clouds
19,Albany,US,42.6001,-73.9662,90.05,64,100,3.0,overcast clouds
20,Yongan,CN,39.6957,113.6871,64.13,76,6,4.41,clear sky
21,Berlevag,NO,70.8578,29.0864,50.0,81,75,19.57,broken clouds
22,Zhigansk,RU,66.7697,123.3711,65.1,69,100,5.91,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,73.56,73,100,20.58,overcast clouds
24,Gawler,AU,-34.6,138.7333,49.48,84,97,5.91,overcast clouds
25,Hobart,AU,-42.8794,147.3294,41.05,82,40,10.36,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,46.06,57,0,13.8,clear sky
27,Meulaboh,ID,4.1363,96.1285,75.96,89,100,2.35,light rain
28,Qaanaaq,GL,77.484,-69.3632,41.02,68,10,2.62,clear sky
29,San Pedro,PH,14.35,121.0167,81.63,90,75,3.44,moderate rain
30,Havre-Saint-Pierre,CA,50.2334,-63.5986,66.56,77,75,14.97,broken clouds
31,Mataura,NZ,-46.1927,168.8643,47.48,97,100,4.27,overcast clouds
32,Jamestown,US,42.097,-79.2353,82.06,49,20,12.66,few clouds
33,Haapiti,PF,-17.5667,-149.8667,80.33,72,5,23.35,light rain
34,Atuona,PF,-9.8,-139.0333,76.96,77,25,24.7,light rain
35,Necochea,AR,-38.5473,-58.7368,47.64,83,100,23.09,overcast clouds
36,Ostrovnoy,RU,68.0531,39.5131,50.81,88,71,14.7,broken clouds
37,Vila Velha,BR,-20.3297,-40.2925,80.55,75,40,16.11,scattered clouds
38,Mahebourg,MU,-20.4081,57.7,70.09,78,20,10.36,few clouds
39,Lorengau,PG,-2.0226,147.2712,80.92,82,93,13.35,overcast clouds
